영화, 평점, 예매률
서울의 봄,서울의 봄,46.0%
노량: 죽음의 바다,노량: 죽음의 바다,23.7%
뽀로로 극장판 슈퍼스타 대모험,뽀로로 극장판 슈퍼스타 대모험,4.9%
아쿠아맨과 로스트 킹덤,아쿠아맨과 로스트 킹덤,4.7%
3일의 휴가,3일의 휴가,3.2%
괴물,괴물,2.7%
말하고 싶은 비밀,말하고 싶은 비밀,1.4%
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,1.3%
나폴레옹,나폴레옹,1.1%
쏘우 X,쏘우 X,0.8%
싱글 인 서울,싱글 인 서울,0.8%
그대들은 어떻게 살 것인가,그대들은 어떻게 살 것인가,0.6%
노 엑시트,노 엑시트,0.6%
크레센도,크레센도,0.5%
길위에 김대중,길위에 김대중,0.4%
리빙: 어떤 인생,리빙: 어떤 인생,0.3%
프레디의 피자가게,프레디의 피자가게,0.3%
언더 유어 베드,언더 유어 베드,0.3%
냉정과 열정 사이,냉정과 열정 사이,0.2%
엔시티 네이션 : 투 더 월드 인 시네마,엔시티 네이션 : 투 더 월드 인 시네마,0.2%
