지역, 기온, 습도
강릉,2.1,97
강진군,11.0,93
강화,3.7,96
거제,17.6,90
거창,11.4,99
경주시,7.2,94
고산,13.9,95
고창,8.2,92
고창군,8.6,93
고흥,14.1,91
광양시,14.7,94
광주,10.1,99
구미,10.5,92
군산,8.6,92
금산,11.8,89
김해시,18.2,93
남원,12.5,94
남해,16.3,89
대관령,-1.4,95
대구,8.7,96
대전,11.1,93
동두천,3.2,95
동해,3.6,99
목포,9.0,96
문경,9.9,100
밀양,17.4,86
백령도,4.5,90
보령,8.1,94
보성군,13.8,87
보은,10.5,100
봉화,6.1,95
부산,15.5,88
부안,8.8,95
부여,10.7,88
북강릉,1.5,98
북부산,17.1,97
북창원,18.6,92
북춘천,3.7,81
산청,11.9,100
상주,10.0,100
서귀포,16.3,87
서산,6.2,94
서울,5.1,95
서청주,6.5,96
성산,16.5,84
세종,8.4,97
속초,0.5,95
수원,5.2,95
순창군,11.0,96
순천,12.9,92
안동,9.3,94
양산시,13.3,99
양평,5.2,92
여수,15.3,86
영광군,8.5,91
영덕,5.2,93
영월,5.2,93
영주,7.4,100
영천,7.2,99
완도,11.7,92
울릉도,8.0,99
울산,8.1,95
울진,4.3,93
원주,5.2,91
의령군,17.5,87
의성,10.5,100
이천,4.9,99
인제,2.3,84
인천,3.7,96
임실,10.3,92
장수,11.7,88
장흥,11.2,93
전주,9.5,95
정선군,2.0,87
정읍,9.2,90
제주,14.0,86
제천,4.5,96
진도군,9.7,94
진주,15.4,96
창원,17.6,86
천안,7.4,98
철원,2.1,90
청송군,8.0,95
청주,6.9,91
추풍령,11.0,94
춘천,3.5,89
충주,6.5,90
태백,-0.5,96
통영,16.8,91
파주,3.1,95
포항,7.1,93
함양군,14.5,82
합천,12.0,93
해남,9.9,95
홍성,7.5,99
홍천,3.4,93
흑산도,10.2,90
