책제목,저자,가격
IT 세계의 괴물들,아무준수 지음 | 생능북스,"17,820"
사진가를 위한 캡쳐원 가이드북,박무웅.홍명희 지음 | 영진.com(영진닷컴),"27,000"
"Crafting Interpreters 로버트 나이스트롬의 인터프리터 in Java, C","로버트 나이스트롬 지음, 이일웅 옮김 | 길벗","49,500"
프로덕트 : 유저를 사로잡는 서비스 기획의 모든 것,홍석희 지음 | 한빛미디어,"19,800"
챗GPT로 완성하는 엑셀 업무 자동화 with MS 파워 오토메이트,김성준 지음 | 프리렉,"21,600"
Release의 모든 것,"마이클 나이가드 지음, 박성철 옮김 | 한빛미디어","32,400"
스티븐 울프럼의 챗GPT 강의,"스티븐 울프럼 지음, 박해선 옮김 | 한빛미디어","18,000"
머신 러닝 교과서: 파이토치 편,"세바스찬 라시카.유시 (헤이든) 류.바히드 미자리리 지음, 박해선 옮김 | 길벗","52,200"
인물부터 연출까지 레벨 업 캐릭터 작화,"이치업 편집부 지음, 김진아 옮김 | 영진.com(영진닷컴)","19,800"
모니터링의 새로운 미래 관측 가능성,정현석.진미란 지음 | 제이펍,"34,200"
2024 알기사 정보보안기사 (산업기사) 필기 + 핵심기출 1200제,조현준 지음 | 탑스팟,"42,300"
헤드 퍼스트 C#,"앤드류 스텔만.제니퍼 그린 지음, 이수겸 옮김, 이재윤 외 감수 | 한빛미디어","37,800"
2024 이기적 빅데이터분석기사 실기 (Python 분석),나홍석 외 지음 | 영진.com(영진닷컴),"22,500"
2024 이기적 빅데이터분석기사 실기 (Python 분석),나홍석 외 지음 | 영진.com(영진닷컴),"22,500"
좋아하는 일로 먹고삽니다,김인숙 지음 | 길벗,"15,300"
실전 피그마,"김범용(스무, SMU) 지음 | 길벗","23,400"
