순위,곡명,가수,앨범
1,"
Perfect Night
",LE SSERAFIM (르세라핌),Perfect Night
2,"
첫 눈
",EXO,첫 눈
3,"
Drama
",aespa,Drama
4,"
To. X
",태연 (TAEYEON),To. X
5,"
Baddie
",IVE (아이브),Baddie
6,"
사랑은 늘 도망가
",임영웅,사랑은 늘 도망가
7,"
Seven (feat. Latto) - Clean Ver.
",정국,Seven (feat. Latto) - Clean Ver.
8,"
헤어지자 말해요
",박재정,헤어지자 말해요
9,"
인사
",범진,인사
10,"
Do or Die
",임영웅,Do or Die
11,"
모래 알갱이
",임영웅,모래 알갱이
12,"
Love Lee
",AKMU (악뮤),Love Lee
13,"
우리들의 블루스
",임영웅,우리들의 블루스
14,"
All I Want for Christmas Is You
",Mariah Carey,All I Want for Christmas Is You
15,"
다시 만날 수 있을까
",임영웅,다시 만날 수 있을까
16,"
You & Me
",제니 (JENNIE),You & Me
17,"
이제 나만 믿어요
",임영웅,이제 나만 믿어요
18,"
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
",너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
19,"
후라이의 꿈
",AKMU (악뮤),후라이의 꿈
20,"
무지개
",임영웅,무지개
21,"
London Boy
",임영웅,London Boy
22,"
Standing Next to You
",정국,Standing Next to You
23,"
Polaroid
",임영웅,Polaroid
24,"
아버지
",임영웅,아버지
25,"
인생찬가
",임영웅,인생찬가
26,"
I AM
",IVE (아이브),I AM
27,"
비의 랩소디
",임재현,비의 랩소디
28,"
Snowman
",Sia,Snowman
29,"
A bientot
",임영웅,A bientot
30,"
별 떨어진다 (I Do)
",디오 (D.O.),별 떨어진다 (I Do)
31,"
Super Shy
",NewJeans,Super Shy
32,"
Santa Tell Me
",Ariana Grande,Santa Tell Me
33,"
사막에서 꽃을 피우듯
",우디 (Woody),사막에서 꽃을 피우듯
34,"
Ditto
",NewJeans,Ditto
35,"
크리스마스니까
",성시경,크리스마스니까
36,"
ETA
",NewJeans,ETA
37,"
연애편지
",임영웅,연애편지
38,"
Either Way
",IVE (아이브),Either Way
39,"
잘 지내자, 우리 (여름날 우리 X 로이킴)
",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
40,"
너의 모든 순간
",성시경,너의 모든 순간
41,"
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
",아이유,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
42,"
Smoke (Prod. Dynamicduo, Padi)
",다이나믹 듀오,"Smoke (Prod. Dynamicduo, Padi)"
43,"
에피소드
",이무진,에피소드
44,"
Get A Guitar
",RIIZE,Get A Guitar
45,"
Hype Boy
",NewJeans,Hype Boy
46,"
Last Christmas
",Ariana Grande,Last Christmas
47,"
퀸카 (Queencard)
",(여자)아이들,퀸카 (Queencard)
48,"
Chill Kill
",Red Velvet (레드벨벳),Chill Kill
49,"
Merry PLLIstmas
",PLAVE,Merry PLLIstmas
50,"
Fast Forward
",전소미,Fast Forward
