시군구,단지명,가격
강원도 강릉시 교동,122.74,28500.0
강원도 강릉시 남문동,164.754,21000.0
강원도 강릉시 입암동,123.09,27900.0
강원도 강릉시 입암동,122.72,25000.0
강원도 강릉시 홍제동,129.689,27200.0
강원도 강릉시 홍제동,129.689,29900.0
강원도 속초시 교동,121.98,16000.0
강원도 속초시 교동,123.27,20500.0
강원도 속초시 금호동,156.76,29500.0
강원도 영월군 영월읍 하송리,121.473,25500.0
강원도 원주시 개운동,133.9912,26000.0
강원도 원주시 개운동,137.4292,24000.0
강원도 원주시 단구동,134.97,19000.0
강원도 원주시 단구동,134.97,17500.0
강원도 원주시 단구동,133.8208,22500.0
강원도 원주시 반곡동,123.52,24000.0
강원도 원주시 판부면 서곡리,123.34,25700.0
강원도 원주시 행구동,133.92,15000.0
강원도 춘천시 동면 만천리,125.17,24200.0
강원도 춘천시 동면 만천리,127.9717,28000.0
강원도 춘천시 석사동,134.99,23500.0
강원도 춘천시 석사동,126.25,29500.0
강원도 춘천시 온의동,126.57,15000.0
강원도 춘천시 우두동,122.13,20500.0
강원도 춘천시 우두동,122.13,25000.0
강원도 춘천시 퇴계동,134.43,15900.0
강원도 춘천시 퇴계동,134.43,14900.0
강원도 춘천시 퇴계동,123.578,27000.0
강원도 춘천시 퇴계동,123.578,28000.0
강원도 춘천시 퇴계동,123.578,27900.0
강원도 춘천시 퇴계동,120.2572,25800.0
강원도 춘천시 후평동,135.0,13800.0
강원도 춘천시 후평동,127.2412,28500.0
강원도 춘천시 후평동,128.79,16500.0
강원도 춘천시 후평동,128.79,15500.0
